Maker,Genmodel,Genmodel_ID,Year,Entry_price,sales,Bodytype,Engin_size,Gearbox,Fuel_type,Engine_power,Wheelbase,Height,Width,Length,Average_mpg,Top_speed,Seat_num,Door_num,Annual_revenue
Abarth,124 Spider,2_1,2016,29365,176.0,Convertible,1.4L,Automatic,Petrol,170.0,2310.0,1233.0,1740.0,4045.0,42.8 mpg,142 mph,2.0,2.0,5168240.0
Abarth,124 Spider,2_1,2017,26665,469.0,Convertible,1.4L,Automatic,Petrol,170.0,2310.0,1233.0,1740.0,4045.0,42.8 mpg,142 mph,2.0,2.0,12505885.0
Abarth,124 Spider,2_1,2018,26665,804.0,Convertible,1.4L,Automatic,Petrol,170.0,2310.0,1233.0,1740.0,4045.0,42.8 mpg,142 mph,2.0,2.0,21438660.0
Abarth,124 Spider,2_1,2019,29515,242.0,Convertible,1.4L,Automatic,Petrol,170.0,2310.0,1233.0,1740.0,4045.0,42.8 mpg,142 mph,2.0,2.0,7142630.0
Abarth,500,2_2,2009,13400,766.0,,,,,,,,,,,,,,10264400.0
Abarth,500,2_2,2010,13945,915.0,,,,,,,,,,,,,,12759675.0
Abarth,500,2_2,2011,13945,882.0,,,,,,,,,,,,,,12299490.0
Abarth,500,2_2,2012,13750,763.0,,,,,,,,,,,,,,10491250.0
Abarth,500,2_2,2013,13975,545.0,,,,,,,,,,,,,,7616375.0
Abarth,500,2_2,2014,13975,762.0,,,,,,,,,,,,,,10648950.0
Abarth,500,2_2,2015,14325,717.0,,,,,,,,,,,,,,10271025.0
Abarth,500,2_2,2016,14325,66.0,,,,,,,,,,,,,,945450.0
Abarth,500C,2_3,2010,17290,0.0,,,,,,,,,,,,,,0.0
Abarth,500C,2_3,2011,16636,0.0,,,,,,,,,,,,,,0.0
Abarth,500C,2_3,2012,16636,0.0,,,,,,,,,,,,,,0.0
Abarth,500C,2_3,2013,15775,0.0,,,,,,,,,,,,,,0.0
Abarth,500C,2_3,2014,15775,0.0,,,,,,,,,,,,,,0.0
