brand,brand_id,product_id_index,category_2,category_3,simplified_category_id,event_time_index,event_type_index,user_session_index,price,user_id_index,discount_rate,purchase_rate,revenue
LG,6533,42903,Audio,StereoSystems,260963,1574486097,1,36441080,333.83,549047,14.169285,0.0,315135.50732421875
Ресанта,2064,26552,ClimateEquipment,Heaters,202647,1580448728,1,68662220,30.86,1716646,14.182422,0.0,1234.4000244140625
Apple,7204,1290,Smartphones,,241000,1576596052,1,38185668,923.81,8107296,9.046965,0.0,146241894.04351807
Samsung,7206,1275,Smartphones,,241000,1586168716,1,39714154,144.88,4992830,7.5725646,0.0,21181891.35388184
LG,6533,15944,ClimateEquipment,AirConditioners,202643,1577098862,1,50219003,476.17,8547395,5.1302996,0.0,19522.97055053711
Гербор,222,140606,LivingRoom,TvStands,189560,1580874362,1,52527450,114.03,750348,12.1020565,0.0,912.239990234375
Huawei,6530,831,Smartphones,,241000,1574065943,2,49525637,164.97,4588166,10.865572,37.5,3019775.8723449707
ASUS,889,29160,Hardware,Videocards,142298,1579542267,1,51192950,991.79,5582683,0.0,0.0,7934.31982421875
Huawei,6530,831,Smartphones,,241000,1570180583,1,15590102,171.69,608730,7.234709,0.0,3142785.4946899414
Samsung,7206,1343,Smartphones,,241000,1579061770,2,40149750,185.83,4007258,26.33102,33.33333333333333,1678416.576538086
Acer,5957,299033,NotebooksAndAccessories,Notebooks,144305,1586416220,1,28111968,1018.28,7267776,0.077519506,0.0,438878.6926269531
Bal Tekstil,3624,275617,HomeTextiles,CarpetsAndRugs,195587,1581338143,1,22327062,99.1,933187,7.4523745,0.0,396.3999938964844
Bosch,5413,12204,KitchenAppliances,FoodProcessorsAndGrinders,203651,1573656253,1,60617154,216.63,2609927,20.598902,0.0,40076.55090332031
Samsung,7206,1385,Smartphones,,241000,1576496465,1,86016676,170.15,395279,26.462967,0.0,2317102.616882324
Yamaha,59,84865,MusicalInstruments,KeyboardInstruments,209703,1583135396,2,78177364,161.28,1756078,29.59972,5.263157894736842,118540.7991027832
ASUS,889,3198,NotebooksAndAccessories,Notebooks,144305,1573921294,1,24468995,295.01,1135718,40.083675,0.0,287634.7595214844
Midea,1778,12818,BigHomeAppliances,Washers,200641,1578295750,1,19841204,131.02,132269,11.806673,0.0,378123.7323303223
Apple,7204,1290,Smartphones,,241000,1578338359,1,77204999,865.4,325650,14.797676,0.0,136995420.06481934
Samsung,7206,1736,TabletsAndAccessories,Tablets,147323,1574328867,2,869106,149.61,4736414,22.401453,25.0,708253.7428894043
Lenovo,3432,676,Smartphones,,241000,1572321139,1,87270883,159.3,5413978,20.64757,0.0,121386.60232543944
Samsung,7206,268373,Smartphones,,241000,1584161351,1,71550586,289.51,11694511,24.964357,0.0,15690573.999267578
Rapoo,4513,327630,Peripherals,Keyboards,146312,1587046544,1,52322072,49.94,11572395,5.362899,0.0,649.2199821472168
Rieker,2980,183002,WomenShoes,WomenKneeBoots,235815,1584042059,1,39549325,97.04,8698062,22.268501,0.0,1067.4400100708008
CASIO,3110,118803,Watches,WristWatches,172471,1579650481,1,29681246,52.25,3207709,28.27728,0.0,5434.0
Samsung,7206,277338,Peripherals,Monitors,146315,1581529154,1,46803912,427.27,11472864,2.353913,0.0,4699.969879150391
Pituso,3061,206675,BabyCare,BabySwingsAndBouncers,134243,1584718504,1,4815588,84.43,838312,19.605787,0.0,7851.990028381348
Philips,3950,168271,OralCare,ElectricToothbrushes,111161,1577549736,1,70879560,90.07,1910535,22.226057,0.0,8916.929969787598
Nokia,6320,228784,Mobiles,,238000,1583058682,1,25431224,18.02,1829001,53.32815,0.0,4126.580104827881
ECOSOFT,2877,194393,WaterSupply,WaterFiltersAndAccessories,161381,1579464741,1,72164281,226.52,4021643,23.478138,0.0,23331.56044006348
Xiaomi,5677,968,Smartphones,,241000,1583772404,1,75058643,165.7,2606018,16.570164,0.0,108202.09800720216
Samsung,7206,282220,Smartphones,,241000,1586856307,1,34525559,103.12,14621888,19.700977,0.0,1650848.1239700315
Garmin,945,22518,SmartWatches,,240000,1580834101,1,62915704,2504.33,2989177,2.51428,0.0,87651.552734375
Yamaha,59,84895,MusicalInstruments,KeyboardInstruments,209703,1578314124,1,41643228,673.61,8736424,13.687327,2.73972602739726,46479.08898925781
Janome,6987,21663,SmallHomeAppliances,SewingMachines,204668,1576505137,1,63855115,172.21,2823342,7.069231,7.142857142857142,165838.2364654541
Merries,2185,92499,BabyCare,CareAndHygiene,134244,1582983267,3,75725340,21.1,1265545,4.6543097,24.0,1962.3000354766848
Huawei,6530,947,Smartphones,,241000,1575606227,1,67914487,117.62,7394786,16.308517,0.0,1199371.168006897
PULSER,2698,244129,DesktopComputers,Desktops,140284,1587727661,1,63729664,446.29,15271993,4.1926064,0.0,160664.40307617188
OPPO,4406,1409,Smartphones,,241000,1573838367,1,3953825,437.57,5788350,5.555673,0.0,2274488.898071289
Sony,6033,5654,Video,HomeTheatres,265982,1583416080,1,80053876,411.54,12552186,23.863619,0.0,77369.52160644531
MAXXIS,5734,61612,Tires,PassengerCarTires,133242,1583412535,1,74693892,84.94,3928803,8.588028,0.0,0.0
Sport Elite,2456,219840,ExerciseAndFitness,Treadmills,246870,1577295590,1,62604838,191.9,3969155,27.38213,0.0,14200.599548339844
ROCKFORCE,317,280440,HandTools,ToolSets,154350,1587226502,1,48570163,201.29,11165080,38.028385,0.0,34621.878845214844
Samsung,7206,1275,Smartphones,,241000,1571968869,1,73232648,141.32,234844,9.843695,0.0,20661409.030822758
Topface Instyle,5013,200032,DecorativeCosmetics,FaceBlushesAndBronzers,106129,1571240509,1,36194961,4.12,4032709,33.333336,9.090909090909092,8.239999771118164
Pioneer,1996,25709,CarAudio,CarAcoustic,121200,1570347698,1,71819201,48.39,4397117,43.030376,0.0,20420.57974243164
Artel,3801,244090,Tvs,,264000,1579953638,1,78346492,159.72,1181068,43.591736,0.0,87526.56066894531
StarLine,6684,25956,CarGoods,CarAnti-theftDevices,117182,1580489938,1,75563088,165.51,1659159,0.0,7.142857142857142,7282.439758300781
Sho-Me,3053,18552,CarElectronics,Dvrs,124208,1576557374,1,78174624,145.43,1597421,12.947448,0.0,372737.07122802734
HARPER,1881,5145,Tvs,,264000,1578161470,1,28773306,113.72,1181503,11.625732,0.0,26951.64028930664
Lenovo,3432,3570,DesktopComputers,Desktops,140284,1587373466,1,54124807,1209.55,11877364,8.609052,0.0,65315.70263671875
Kormoran,3876,59945,Tires,PassengerCarTires,133242,1585323492,2,45643134,43.12,428779,5.6248627,0.0,6338.639842987061
PRIDE,6929,105194,CarAudio,CarAmplifiers,121201,1581403951,1,84284547,97.81,11485284,19.15193,0.0,11932.819702148438
Tomahawk,6512,25977,CarGoods,CarAnti-theftDevices,117182,1574440889,1,3844512,95.24,6728539,0.0,0.0,666.6799850463867
Rule 1,1628,186200,SportsNutrition,Protein,255923,1581761507,1,86676364,108.75,1543382,17.079676,0.0,435.0
Luminarc,4530,189466,Kitchenware,TableSetting,197610,1573616774,1,57762872,110.68,5509828,4.5450597,0.0,27337.960075378414
Apple,7204,1319,Smartphones,,241000,1580824816,1,53731720,1465.55,739020,16.868507,0.0,11142577.021240234
Lucente,2237,159562,JewelryAndBijouterie,NecklacesBijouterieAndJewelry,205677,1581963211,1,47729271,313.52,5289787,7.866825,0.0,1230565.956878662
Janome,6987,21729,SmallHomeAppliances,SewingMachines,204668,1586551972,1,6261914,122.58,802996,23.792355,0.0,17528.94026184082
Xiaomi,5677,1185,Smartphones,,241000,1572681229,1,40023353,94.37,866230,33.340397,0.0,632467.7584075928
Xiaomi,5677,1391,Smartphones,,241000,1581943275,1,75255223,148.76,11080878,42.780216,0.0,2186920.679244995
Apple,7204,1290,Smartphones,,241000,1573457754,1,40872180,914.62,6048681,9.951759,0.0,144787089.08703613
Lenovo,3432,2817,NotebooksAndAccessories,Notebooks,144305,1577463330,1,21294720,290.6,253602,31.578451,0.0,455079.6095581055
Азбукварик,7578,39551,Toys,EducationalToys,139271,1586462454,1,50864072,6.92,539176,38.761063,14.285714285714285,62.28000068664551
Xiaomi,5677,20559,Headphones,,262000,1583152743,1,29727652,43.31,6328907,29.862347,33.33333333333333,97750.67309951782
OTEX,1299,15747,ClimateEquipment,AirConditioners,202643,1575876745,1,65783322,415.71,264044,10.277771,0.0,0.0
Apple,7204,1290,Smartphones,,241000,1582636347,1,42380991,812.08,11270245,20.047258,0.0,128554702.94537354
ВИХРЬ,2829,55643,PowerTools,ElectricalTools,158369,1576388035,1,13881034,46.8,1982428,21.26514,0.0,45395.99925994873
Indesit,2712,13166,BigHomeAppliances,Washers,200641,1586842525,1,11570987,447.6,4765688,0.058049224,0.0,46550.400634765625
Samsung,7206,1275,Smartphones,,241000,1586846632,1,43523806,148.93,14613445,4.98884,0.0,21774011.71917725
Samsung,7206,22336,SmartWatches,,240000,1575381520,1,80432383,154.16,6237698,0.16836841,0.0,662579.6957397461
Lucente Бриллианты Якутии,7288,155421,JewelryAndBijouterie,RingsBijouterieAndJewelry,205678,1576176379,1,8327488,140.03,613421,0.0,0.0,4480.9599609375
MONTALE,237,96122,Perfumes,,112000,1583243764,1,3187937,114.67,11547473,29.78815,0.0,4472.129928588867
CooperVision,226,125514,LensesGlassesAccessories,ContactLenses,225754,1576593597,1,23277141,43.76,455726,20.925192,0.0,43.7599983215332
Braun,7278,14345,SmallHomeAppliances,Irons,204665,1573998788,1,21548364,123.53,2924606,12.730487,0.0,14576.539855957031
Kicx,2299,25227,CarAudio,CarAcoustic,121200,1588102207,1,30580482,16.22,10826806,0.0,0.0,356.8399848937988
Huawei,6530,831,Smartphones,,241000,1585396385,1,66818505,176.32,1606823,4.733085,0.0,3227537.734069824
Xiaomi,5677,1334,Smartphones,,241000,1580713554,1,1118826,172.1,272681,39.107666,0.0,4298025.552429199
Samsung,7206,1343,Smartphones,,241000,1587576014,1,22489817,188.91,14790344,25.11001,0.0,1706235.153076172
Moser,4358,38026,BeautyCareEquipment,HairClippers,101104,1587051972,1,34006743,121.07,605819,0.0,0.0,121.06999969482422
Smeg,2140,12901,BigHomeAppliances,Washers,200641,1576127816,1,76725484,2200.57,239461,0.0,0.0,2200.570068359375
Бирюса,467,10409,KitchenAppliances,OtherKitchenAppliances,203657,1584465851,1,34656516,189.91,6326145,15.983893,0.0,1329.3700256347656
Cali Girl,2320,333927,CosmeticsAndAccessoriesForEyebrowsAndEyelashes,EyebrowPencils,104121,1587489195,1,29455470,16.06,7700641,0.0,0.0,337.25998878479004
УРАЛ,2863,25182,CarAudio,CarAcoustic,121200,1584358687,1,58133158,92.5,1635066,14.438997,5.0,11377.5
TOM FORD,3084,95920,Perfumes,,112000,1586789268,1,80182794,131.02,2695402,21.690271,0.0,24893.800811767574
Samsung,7206,1275,Smartphones,,241000,1588289746,3,77452849,143.89,8341364,8.204147,33.33333333333333,21037149.58076477
Kivi,1336,5386,Tvs,,264000,1570161322,1,71635787,190.45,1435890,7.400205,0.0,204733.74671936035
Xiaomi,5677,1340,Smartphones,,241000,1576526563,1,47421692,303.46,7881323,7.348947,3.8461538461538463,364758.9097290039
Tefal,4286,15271,SmallHomeAppliances,SteamGenerators,204670,1577606539,3,36744628,165.26,1124537,7.073776,14.285714285714285,120474.5359954834
Samsung,7206,282220,Smartphones,,241000,1582209118,1,83663220,116.76,8474745,9.07958,0.0,1869210.8741989136
HP,7796,2242,NotebooksAndAccessories,Notebooks,144305,1579202438,1,81395646,334.37,1371557,22.633566,0.0,291570.6357421875
Dr. Jart,1506,108746,SkinCare,FacialMasks,115173,1588258813,1,43990300,21.85,13586308,0.0,0.0,174.8000030517578
Kingston,1577,72834,Peripherals,UsbFlashDrives,146320,1581402295,1,58800821,4.9,1885959,67.6781,0.0,686.0000133514404
HP,7796,3168,NotebooksAndAccessories,Notebooks,144305,1573249020,1,76532079,615.58,5910329,25.606966,0.0,6155.8001708984375
Samsung,7206,1275,Smartphones,,241000,1583943019,2,24078855,150.04,585020,4.280706,25.0,21936297.13841248
GIGABYTE,4967,298164,Hardware,Videocards,142298,1584028169,1,65817505,590.29,10267204,0.0,0.0,5902.8997802734375
